16S.B,0-0.1,0,0.043241,0.010049,361,0,18,0,18.24user,0.86system,0:18.78elapsed,200,53,920,529539
16S.B,0-0.1,0,0.043241,0.010049,361,0,21,1,18.00user,0.70system,0:18.02elapsed,171,3,908,529630
16S.B,0-0.1,0,0.064129,0.012799,562,0,16,1,23.04user,0.88system,0:23.09elapsed,330,44,1709,802672
16S.B,0-0.1,0,0.064129,0.012799,562,0,21,0,22.70user,0.77system,0:22.65elapsed,239,44,1333,803139
16S.B,0-0.1,0,0.095544,0.017847,685,0,20,0,25.56user,0.96system,0:25.62elapsed,274,56,1580,979072
16S.B,0-0.1,0,0.095544,0.017847,685,0,21,1,25.64user,0.78system,0:25.67elapsed,268,13,1659,979042
16S.B,0-0.1,1,0.043241,0.010004,360,0,17,0,17.37user,0.77system,0:17.24elapsed,169,40,993,528039
16S.B,0-0.1,1,0.043241,0.010004,360,0,17,1,17.49user,0.81system,0:17.46elapsed,210,10,1166,527855
16S.B,0-0.1,1,0.063049,0.010983,441,0,20,0,19.26user,0.90system,0:19.33elapsed,178,81,1171,629744
16S.B,0-0.1,1,0.063049,0.010983,441,0,22,1,19.92user,0.81system,0:19.89elapsed,169,47,963,629995
16S.B,0-0.1,1,0.095544,0.017493,622,0,20,0,24.06user,0.86system,0:24.13elapsed,259,138,1450,889208
16S.B,0-0.1,1,0.095544,0.017493,622,0,20,1,24.08user,0.85system,0:24.04elapsed,240,87,1508,889220
16S.B,0-0.1,2,0.043241,0.009967,359,0,17,1,17.67user,0.79system,0:17.73elapsed,182,25,1079,526484
16S.B,0-0.1,2,0.043241,0.009967,359,0,21,0,17.36user,0.77system,0:17.28elapsed,159,3,895,526713
16S.B,0-0.1,2,0.067151,0.011957,373,0,16,1,17.72user,0.74system,0:17.57elapsed,205,41,1190,541521
16S.B,0-0.1,2,0.067151,0.011957,373,0,17,0,18.06user,0.77system,0:17.93elapsed,176,14,1016,541751
16S.B,0-0.1,2,0.081792,0.017002,611,0,22,1,24.34user,0.77system,0:24.29elapsed,232,22,1376,895306
16S.B,0-0.1,2,0.081792,0.017002,611,0,23,0,24.07user,0.79system,0:24.15elapsed,226,54,1282,895374
16S.B,0-0.1,3,0.043241,0.00993,358,0,19,1,18.30user,0.80system,0:18.35elapsed,144,37,958,525160
16S.B,0-0.1,3,0.043241,0.00993,358,0,21,0,18.92user,0.77system,0:18.84elapsed,154,30,791,525324
