16S.B,0.5-0.6,0,0.516271,0.119214,574,0,22,0,6878.14user,0.66system,1:54:38elapsed,9042,77,1248,824845
16S.B,0.5-0.6,0,0.5578,0.170459,1063,0,19,0,15114.88user,0.66system,4:11:55elapsed,17994,269,2386,1523020
16S.B,0.5-0.6,0,0.592889,0.208338,619,0,20,0,6711.12user,0.40system,1:51:51elapsed,16714,82,1438,804497
16S.B,0.5-0.6,1,0.522936,0.198195,560,0,18,0,6573.71user,0.42system,1:49:34elapsed,21277,104,1445,780760
16S.B,0.5-0.6,1,0.529169,0.058372,775,0,20,0,9512.00user,0.56system,2:38:32elapsed,4077,185,1825,1071276
16S.B,0.5-0.6,1,0.5578,0.17023,1059,0,16,0,15921.69user,1.24system,4:25:22elapsed,17578,229,3105,1517199
16S.B,0.5-0.6,1,0.592889,0.207533,617,0,18,0,7112.70user,0.51system,1:58:33elapsed,20480,81,1718,797687
16S.B,0.5-0.6,2,0.519102,0.196347,548,0,22,0,6304.69user,0.35system,1:45:05elapsed,20633,122,1140,764236
16S.B,0.5-0.6,2,0.536793,0.204241,586,0,18,0,7054.80user,0.43system,1:57:35elapsed,22521,196,1434,816453
16S.B,0.5-0.6,2,0.5578,0.170086,1056,0,21,0,15257.12user,1.64system,4:14:18elapsed,16943,236,2374,1514179
16S.B,0.5-0.6,2,0.592889,0.207552,613,0,19,0,7093.53user,0.43system,1:58:13elapsed,17980,188,1358,794675
16S.B,0.5-0.6,3,0.504374,0.079129,468,0,20,0,5114.05user,0.54system,1:25:14elapsed,9391,99,1062,601581
16S.B,0.5-0.6,3,0.545271,0.206554,395,0,21,0,3772.21user,0.38system,1:02:52elapsed,5104,59,825,563302
